transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,2,2950,2017-02-25,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62 ,2012-12-02
2,3,3120,2017-05-21,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92 ,2014-03-03
3,37,402,2017-10-16,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82 ,1999-07-20
4,88,3135,2017-08-31,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10 ,1998-12-16
5,78,787,2017-10-01,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48 ,2015-08-10
6,25,2339,2017-03-08,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,2006-11-10
7,22,1542,2017-04-21,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26 ,1993-07-15
8,15,2459,2017-07-15,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44 ,2009-04-12
9,67,1305,2017-08-10,FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74 ,1991-08-05
10,12,3262,2017-08-30,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60 ,2004-08-17
11,5,1986,2017-01-17,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71 ,2011-08-29
12,61,2783,2017-01-05,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93 ,2015-06-17
13,35,1243,2017-02-26,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40 ,1994-07-12
14,16,2717,2017-09-10,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11 ",1994-09-09
15,12,247,2017-06-11,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48 ,2004-07-25
16,3,2961,2017-10-10,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92 ,2003-09-09
17,79,2426,2017-04-03,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01 ,2004-08-07
18,33,1842,2017-06-02,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18 ",1992-10-11
19,54,2268,2017-04-06,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44 ,2009-04-12
20,25,3002,2017-01-28,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,2002-03-22
21,27,1582,2017-10-09,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72 ,1999-06-23
22,37,595,2017-06-29,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82 ,1999-07-20
23,37,2001,2017-04-08,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82 ,2015-05-21
24,82,515,2017-10-18,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,2016-02-04
25,89,2822,2017-06-11,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74 ,1993-04-20
26,64,2596,2017-01-10,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55 ,2015-05-21
27,64,2666,2017-04-11,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55 ,2012-05-18
28,19,76,2017-12-23,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71 ,2016-07-09
29,72,3368,2017-10-13,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30 ,2016-12-06
30,91,1173,2017-03-15,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85 ,2014-10-10
31,88,2810,2017-09-05,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10 ,2002-10-10
32,1,3214,2017-02-18,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82 ,2016-11-14
33,25,1272,2017-03-20,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,2016-02-04
34,99,2003,2017-02-28,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42 ",2006-10-01
35,0,2171,2017-08-20,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84 ,2005-10-22
36,92,3356,2017-07-07,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36 ",2003-09-10
37,14,1040,2017-01-09,FALSE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75 ",1995-10-24
38,2,2916,2017-12-06,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62 ,1991-11-07
39,12,427,2017-09-12,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60 ,2005-12-07
40,0,2448,2017-11-28,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84 ,2005-10-22
41,44,2570,2017-05-08,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76 ,2003-02-16
42,79,3398,2017-05-14,FALSE,Approved,Solex,Touring,medium,large,2083.94,$675.03 ,2013-09-16
44,46,165,2017-12-22,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51 ,2003-02-16
45,55,2787,2017-06-07,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76 ,2015-06-17
46,66,3053,2017-06-20,FALSE,Approved,Solex,Standard,medium,medium,1163.89,$589.27 ,2016-07-09
47,35,475,2017-05-07,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40 ,1994-07-12
48,81,1305,2017-06-10,TRUE,Approved,Solex,Standard,medium,medium,1151.96,$649.49 ,2012-04-10
49,86,1251,2017-06-17,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07 ,2004-08-07
50,32,3103,2017-05-10,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37 ,2002-03-22
51,77,3108,2017-03-24,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10 ,2011-01-10
52,96,857,2017-11-27,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66 ,2007-12-11
53,6,3455,2017-12-21,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73 ,1991-11-07
54,27,2549,2017-02-09,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72 ,1994-07-12
55,0,3140,2017-09-18,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41 ,2005-05-10
56,47,3406,2017-11-14,FALSE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42 ",1997-02-09
57,94,2294,2017-08-30,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66 ,2013-06-09
58,91,1031,2017-11-14,FALSE,Approved,Solex,Standard,medium,medium,100.35,$75.26 ,1999-07-26
59,93,993,2017-02-15,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90 ,2006-02-02
60,60,3473,2017-12-18,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85 ",2014-07-28
61,0,1839,2017-02-24,FALSE,Approved,OHM Cycles,Road,high,large,12.01,$7.21 ,1993-10-02
62,33,1824,2017-12-18,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18 ",1992-10-11
63,35,368,2017-12-17,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82 ,2016-11-14
64,0,2000,2017-07-08,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72 ,2006-11-10
65,28,825,2017-05-16,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,"$1,082.36 ",2016-11-22
66,86,3315,2017-02-23,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07 ,1999-07-26
67,2,75,2017-07-03,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62 ,2012-12-02
68,4,1498,2017-09-30,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48 ,2004-09-28
69,38,1612,2017-10-21,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92 ,2012-09-15
70,27,2192,2017-05-06,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72 ,1999-06-23
71,54,419,2017-01-03,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44 ,2009-04-12
72,77,3307,2017-05-09,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76 ,2011-05-09
73,22,2430,2017-07-23,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26 ,1993-07-15
74,56,1506,2017-01-21,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90 ,1997-10-04
75,58,1346,2017-06-20,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40 ,2015-10-18
76,22,927,2017-03-10,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26 ,1991-11-10
77,50,763,2017-06-02,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92 ,2003-02-16
78,80,2397,2017-11-07,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84 ,1998-12-16
79,87,102,2017-09-12,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40 ,1997-08-25
80,15,2884,2017-12-16,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90 ,2005-12-07
81,84,759,2017-10-07,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68 ,1992-10-02
82,21,773,2017-04-27,TRUE,Approved,Solex,Standard,medium,large,1071.23,$380.74 ,2011-05-07
83,0,3398,2017-04-01,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07 ,2003-01-05
