Current_Customer_Grade,owns_car,wealth_segment,past_3_years_bike_related_purchases,property_valuation,age,label
1st grade,1,2,13,8,25.0,2
1st grade,1,1,28,10,48.0,2
1st grade,1,3,92,9,47.0,0
1st grade,0,2,14,10,29.0,1
1st grade,0,2,30,9,47.0,1
1st grade,1,3,83,9,45.0,0
1st grade,1,1,19,6,43.0,2
1st grade,1,3,24,6,43.0,0
1st grade,0,1,34,7,28.0,1
1st grade,0,2,93,10,43.0,1
1st grade,0,1,34,9,62.0,1
1st grade,1,1,82,12,32.0,2
1st grade,0,1,29,8,41.0,1
1st grade,0,3,64,2,32.0,3
1st grade,0,1,13,7,25.0,1
1st grade,1,1,3,8,61.0,2
1st grade,0,2,45,10,52.0,1
1st grade,1,1,34,7,34.0,2
1st grade,1,1,7,10,27.0,2
1st grade,1,2,4,8,62.0,2
1st grade,0,1,30,3,43.0,3
1st grade,0,2,1,10,52.0,1
1st grade,0,3,60,11,44.0,0
1st grade,0,1,27,12,28.0,1
1st grade,0,2,62,12,39.0,1
1st grade,1,2,34,9,44.0,2
1st grade,0,3,12,9,32.0,0
1st grade,1,1,66,6,21.0,2
1st grade,1,3,13,4,24.0,0
1st grade,1,1,32,10,34.0,2
1st grade,1,2,68,7,25.0,2
1st grade,1,1,20,8,43.0,2
1st grade,1,2,22,9,55.0,2
1st grade,0,3,35,9,46.0,0
1st grade,0,3,51,8,25.0,0
1st grade,0,1,38,1,51.0,3
1st grade,1,1,2,9,43.0,2
1st grade,1,2,93,11,54.0,2
1st grade,0,1,50,9,55.0,1
1st grade,1,1,35,10,27.0,2
1st grade,1,2,85,10,39.0,2
1st grade,1,1,88,12,44.0,2
1st grade,1,2,70,9,25.0,2
1st grade,0,1,25,10,47.0,1
1st grade,1,3,81,4,46.0,0
1st grade,1,1,89,2,35.0,3
1st grade,0,2,33,9,20.0,1
1st grade,1,2,40,10,42.0,2
1st grade,1,3,91,9,47.0,0
1st grade,1,2,28,8,42.0,2
1st grade,0,1,52,4,57.0,3
1st grade,0,1,91,5,36.0,1
1st grade,1,3,63,9,45.0,0
2nd grade,0,3,98,9,55.0,0
2nd grade,0,2,97,7,43.0,1
2nd grade,0,1,78,8,37.0,1
2nd grade,1,2,41,6,35.0,2
2nd grade,1,3,73,10,56.0,0
2nd grade,0,1,2,2,66.0,3
2nd grade,1,2,82,3,50.0,3
2nd grade,1,3,25,4,31.0,0
2nd grade,1,3,51,12,63.0,0
2nd grade,0,1,93,9,31.0,1
2nd grade,1,3,49,5,53.0,0
2nd grade,1,2,21,11,57.0,2
2nd grade,0,1,22,10,21.0,1
2nd grade,0,1,11,5,32.0,1
2nd grade,0,3,10,9,21.0,0
2nd grade,0,1,77,11,41.0,1
2nd grade,1,2,62,11,51.0,2
2nd grade,0,3,13,5,64.0,0
2nd grade,0,1,53,1,25.0,3
2nd grade,1,1,89,8,44.0,2
2nd grade,1,1,60,3,67.0,3
2nd grade,1,2,8,6,42.0,2
2nd grade,1,3,76,10,42.0,0
2nd grade,0,2,80,8,25.0,1
2nd grade,1,2,15,8,25.0,2
2nd grade,1,3,89,9,48.0,0
2nd grade,1,3,61,8,55.0,0
2nd grade,1,1,36,9,55.0,2
2nd grade,0,2,76,9,34.0,1
2nd grade,1,2,7,2,63.0,3
2nd grade,1,1,26,2,39.0,3
2nd grade,0,2,5,9,65.0,1
2nd grade,1,1,70,10,21.0,2
2nd grade,1,1,14,11,44.0,2
2nd grade,1,2,56,11,53.0,2
2nd grade,0,2,67,10,89.0,1
2nd grade,0,1,19,2,23.0,3
2nd grade,0,2,43,7,44.0,1
2nd grade,1,1,4,12,44.0,2
2nd grade,0,2,9,3,34.0,3
2nd grade,0,2,40,5,35.0,3
2nd grade,0,2,63,10,24.0,1
2nd grade,1,1,39,8,42.0,2
2nd grade,0,1,49,8,49.0,1
2nd grade,1,3,44,1,30.0,3
2nd grade,1,1,91,4,43.0,3
2nd grade,1,1,30,8,61.0,2
2nd grade,0,1,20,4,33.0,3
2nd grade,0,1,31,4,58.0,3
2nd grade,1,1,83,10,49.0,2
2nd grade,1,1,2,2,47.0,3
2nd grade,0,1,55,11,44.0,1
2nd grade,0,1,43,10,35.0,1
2nd grade,0,3,55,12,31.0,0
2nd grade,1,3,18,8,38.0,0
2nd grade,0,1,65,7,31.0,1
2nd grade,0,3,6,4,51.0,3
2nd grade,0,2,10,8,48.0,1
2nd grade,1,1,47,9,45.0,2
2nd grade,0,1,75,6,38.0,1
2nd grade,1,1,80,9,64.0,2
2nd grade,0,1,11,2,24.0,3
2nd grade,1,1,49,11,33.0,2
2nd grade,0,2,40,4,64.0,3
2nd grade,1,1,26,5,46.0,2
2nd grade,0,1,42,9,44.0,1
2nd grade,1,1,80,5,24.0,2
2nd grade,1,2,56,7,22.0,2
2nd grade,1,3,37,10,20.0,0
2nd grade,1,2,76,9,38.0,2
2nd grade,0,2,25,9,20.0,1
2nd grade,0,3,79,9,61.0,0
2nd grade,0,1,59,4,34.0,3
2nd grade,1,1,96,5,40.0,2
2nd grade,0,1,9,9,40.0,1
2nd grade,1,1,2,8,43.0,2
2nd grade,0,1,98,1,59.0,3
2nd grade,0,1,11,10,43.0,1
2nd grade,1,1,16,5,55.0,2
2nd grade,0,1,73,10,58.0,1
2nd grade,0,2,94,6,45.0,1
2nd grade,1,1,83,9,31.0,2
2nd grade,0,1,9,4,50.0,3
2nd grade,1,1,81,8,60.0,2
2nd grade,0,1,89,7,48.0,1
2nd grade,0,2,49,11,42.0,1
2nd grade,1,1,28,10,25.0,2
