Current_Customer_Grade,owns_car,wealth_segment,past_3_years_bike_related_purchases,property_valuation,age,label
1st grade,1,2,13,8,25,2
1st grade,1,1,28,10,48,6
1st grade,1,3,92,9,47,7
1st grade,0,2,14,10,29,3
1st grade,0,2,30,9,47,8
1st grade,1,3,83,9,45,7
1st grade,1,1,19,6,43,6
1st grade,1,3,24,6,43,7
1st grade,0,1,34,7,28,3
1st grade,0,2,93,10,43,1
1st grade,0,1,34,9,62,8
1st grade,1,1,82,12,32,4
1st grade,0,1,29,8,41,8
1st grade,0,3,64,2,32,5
1st grade,0,1,13,7,25,3
1st grade,1,1,3,8,61,6
1st grade,0,2,45,10,52,8
1st grade,1,1,34,7,34,2
2nd grade,1,1,7,10,27,2
2nd grade,1,2,4,8,62,6
2nd grade,0,1,30,3,43,5
2nd grade,0,2,1,10,52,8
2nd grade,0,3,60,11,44,0
2nd grade,0,1,27,12,28,3
2nd grade,0,2,62,12,39,3
2nd grade,1,2,34,9,44,6
2nd grade,0,3,12,9,32,0
2nd grade,1,1,66,6,21,4
2nd grade,1,3,13,4,24,2
2nd grade,1,1,32,10,34,2
2nd grade,1,2,68,7,25,2
2nd grade,1,1,20,8,43,6
2nd grade,1,2,22,9,55,6
2nd grade,0,3,35,9,46,0
2nd grade,0,3,51,8,25,0
2nd grade,0,1,38,1,51,5
2nd grade,1,1,2,9,43,6
2nd grade,1,2,93,11,54,4
2nd grade,0,1,50,9,55,8
2nd grade,1,1,35,10,27,2
2nd grade,1,2,85,10,39,4
2nd grade,1,1,88,12,44,4
2nd grade,1,2,70,9,25,2
2nd grade,0,1,25,10,47,8
2nd grade,1,3,81,4,46,7
2nd grade,1,1,89,2,35,9
2nd grade,0,2,33,9,20,3
2nd grade,1,2,40,10,42,2
2nd grade,1,3,91,9,47,7
2nd grade,1,2,28,8,42,2
2nd grade,0,1,52,4,57,5
2nd grade,0,1,91,5,36,1
2nd grade,1,3,63,9,45,7
3rd grade,0,3,98,9,55,0
3rd grade,0,2,97,7,43,1
3rd grade,0,1,78,8,37,1
3rd grade,1,2,41,6,35,2
3rd grade,1,3,73,10,56,7
3rd grade,0,1,2,2,66,5
3rd grade,1,2,82,3,50,9
3rd grade,1,3,25,4,31,9
3rd grade,1,3,51,12,63,7
3rd grade,0,1,93,9,31,3
3rd grade,1,3,49,5,53,7
3rd grade,1,2,21,11,57,6
3rd grade,0,1,22,10,21,3
3rd grade,0,1,11,5,32,5
3rd grade,0,3,10,9,21,0
3rd grade,0,1,77,11,41,1
3rd grade,1,2,62,11,51,7
3rd grade,0,3,13,5,64,0
3rd grade,0,1,53,1,25,5
3rd grade,1,1,89,8,44,4
3rd grade,1,1,60,3,67,9
3rd grade,1,2,8,6,42,6
3rd grade,1,3,76,10,42,7
3rd grade,0,2,80,8,25,3
3rd grade,1,2,15,8,25,2
3rd grade,1,3,89,9,48,7
3rd grade,1,3,61,8,55,7
3rd grade,1,1,36,9,55,6
3rd grade,0,2,76,9,34,3
3rd grade,1,2,7,2,63,9
3rd grade,1,1,26,2,39,9
3rd grade,0,2,5,9,65,8
3rd grade,1,1,70,10,21,4
3rd grade,1,1,14,11,44,6
3rd grade,1,2,56,11,53,7
3rd grade,0,2,67,10,89,1
3rd grade,0,1,19,2,23,5
3rd grade,0,2,43,7,44,0
3rd grade,1,1,4,12,44,6
3rd grade,0,2,9,3,34,5
3rd grade,0,2,40,5,35,5
3rd grade,0,2,63,10,24,3
3rd grade,1,1,39,8,42,6
3rd grade,0,1,49,8,49,8
3rd grade,1,3,44,1,30,9
3rd grade,1,1,91,4,43,9
3rd grade,1,1,30,8,61,6
3rd grade,0,1,20,4,33,5
3rd grade,0,1,31,4,58,5
3rd grade,1,1,83,10,49,4
3rd grade,1,1,2,2,47,9
4th grade,0,1,55,11,44,1
4th grade,0,1,43,10,35,3
4th grade,0,3,55,12,31,0
4th grade,1,3,18,8,38,2
4th grade,0,1,65,7,31,3
4th grade,0,3,6,4,51,0
4th grade,0,2,10,8,48,8
4th grade,1,1,47,9,45,6
4th grade,0,1,75,6,38,1
4th grade,1,1,80,9,64,4
4th grade,0,1,11,2,24,5
4th grade,1,1,49,11,33,4
4th grade,0,2,40,4,64,5
4th grade,1,1,26,5,46,6
4th grade,0,1,42,9,44,8
4th grade,1,1,80,5,24,4
4th grade,1,2,56,7,22,2
4th grade,1,3,37,10,20,2
4th grade,1,2,76,9,38,4
4th grade,0,2,25,9,20,3
4th grade,0,3,79,9,61,0
4th grade,0,1,59,4,34,5
4th grade,1,1,96,5,40,4
4th grade,0,1,9,9,40,8
4th grade,1,1,2,8,43,6
4th grade,0,1,98,1,59,5
4th grade,0,1,11,10,43,8
4th grade,1,1,16,5,55,6
4th grade,0,1,73,10,58,1
4th grade,0,2,94,6,45,1
4th grade,1,1,83,9,31,4
4th grade,0,1,9,4,50,5
4th grade,1,1,81,8,60,4
4th grade,0,1,89,7,48,1
4th grade,0,2,49,11,42,0
4th grade,1,1,28,10,25,2
4th grade,1,2,29,7,24,2
4th grade,0,3,46,7,41,0
4th grade,1,2,17,11,42,2
4th grade,0,1,82,7,39,1
4th grade,0,1,74,9,40,1
4th grade,1,1,85,11,32,4
4th grade,1,1,71,9,42,4
4th grade,0,1,72,8,32,3
4th grade,1,2,84,8,27,4
4th grade,0,1,98,8,24,3
4th grade,1,1,27,8,45,6
4th grade,1,2,43,8,54,6
4th grade,0,2,99,8,23,3
4th grade,0,1,49,7,46,8
4th grade,0,3,48,10,29,0
4th grade,0,3,10,1,42,5
4th grade,1,1,82,10,30,4
4th grade,0,2,54,4,26,5
4th grade,0,1,19,7,57,8
4th grade,1,3,22,8,58,7
4th grade,0,1,54,9,57,1
4th grade,1,1,61,4,48,9
4th grade,1,1,53,2,43,9
4th grade,0,1,59,12,21,3
4th grade,1,1,84,5,25,4
4th grade,1,1,74,7,52,4
4th grade,1,1,44,6,47,6
4th grade,1,2,56,10,30,2
4th grade,1,1,81,2,42,9
4th grade,0,1,21,8,62,8
4th grade,0,1,0,7,39,8
4th grade,1,3,76,8,50,7
4th grade,0,1,68,10,39,1
4th grade,1,3,28,9,50,7
4th grade,1,1,41,8,45,6
4th grade,1,1,60,6,64,6
4th grade,1,3,16,9,35,2
4th grade,0,1,79,5,42,1
4th grade,1,1,46,4,39,9
4th grade,0,2,89,7,44,1
4th grade,1,1,41,9,42,6
4th grade,0,2,1,10,43,8
4th grade,1,1,30,9,38,6
4th grade,1,3,19,9,55,7
4th grade,1,1,82,8,42,4
4th grade,0,3,90,6,23,0
4th grade,0,3,46,1,35,5
4th grade,1,1,96,2,56,9
4th grade,1,1,55,8,25,4
4th grade,1,1,98,7,51,4
4th grade,0,3,48,2,67,5
4th grade,0,3,69,8,64,0
4th grade,1,1,64,4,45,9
4th grade,0,3,16,10,59,0
4th grade,1,2,69,10,34,4
4th grade,1,2,98,8,49,4
4th grade,0,1,47,8,46,8
4th grade,0,1,16,3,64,5
4th grade,0,1,56,10,44,1
4th grade,0,1,73,3,41,5
4th grade,1,3,95,10,44,7
4th grade,0,2,27,10,58,8
4th grade,0,2,77,3,41,5
4th grade,0,1,82,10,23,3
4th grade,0,3,12,7,33,0
4th grade,0,3,71,10,51,0
4th grade,0,1,68,5,43,5
4th grade,0,3,54,8,27,0
4th grade,1,1,56,8,45,4
4th grade,1,3,93,9,31,7
4th grade,1,2,52,4,30,9
4th grade,1,3,42,10,46,7
4th grade,0,1,66,1,64,5
4th grade,1,2,79,11,62,7
4th grade,0,2,69,9,31,3
4th grade,1,2,53,6,28,2
4th grade,1,1,61,10,36,4
4th grade,0,1,62,7,52,1
4th grade,1,1,49,5,60,6
4th grade,1,1,89,6,24,4
4th grade,1,3,60,8,42,7
4th grade,1,2,8,11,31,2
4th grade,1,2,92,9,40,4
4th grade,1,3,42,7,39,7
4th grade,1,3,75,4,65,7
4th grade,1,2,0,9,29,2
4th grade,1,1,6,8,45,6
4th grade,0,2,8,12,61,8
